from_stop_id,to_stop_id,transfer_type,min_transfer_time
5289127,2280,2,200
3764503,2447,2,199
3926214,1890,2,186
3740532,2517,2,222
4008372,1814,2,231
4008891,2343,2,203
3812997,2291,2,187
4008215,2441,2,224
4025414,2043,2,276
4016475,2447,2,199
5121607,1804,2,227
4472538,1917,2,266
4472872,1647,2,212
4726957,1678,2,281
